,House 2 BR,House 3 BR,Unit 1 BR,Unit 2 BR,Unit 3 BR,House 4 BR,House 5 BR,House 1 BR
Melbourne,,,373000.0,588000.0,1044999.0,,,
East Melbourne,,2918000.0,563000.0,750000.0,2900000.0,4480000.0,,
West Melbourne,960000.0,1500000.0,450000.0,650000.0,1140000.0,,,
Melbourne,,,385000.0,680000.0,1240000.0,,,
Southbank,,,395000.0,620000.0,975000.0,,,
Docklands,,,410000.0,665000.0,1265000.0,,,
Footscray,815000.0,1000000.0,370000.0,523000.0,647000.0,1200000.0,,
Seddon,970000.0,1190000.0,430000.0,515000.0,,,,
Brooklyn,,753000.0,,553000.0,675000.0,,,
Maidstone,660000.0,800000.0,,420000.0,703000.0,868000.0,,
West Footscray,670000.0,905000.0,235000.0,429000.0,689000.0,1250000.0,,
Yarraville,942000.0,1100000.0,371000.0,543000.0,,1418000.0,,
Newport,916000.0,1168000.0,,680000.0,860000.0,1400000.0,1385000.0,
South Kingsville,,870000.0,,635000.0,805000.0,,,
Spotswood,,1050000.0,,632000.0,,1300000.0,,
Williamstown,1014999.0,1386000.0,509000.0,650000.0,973000.0,2100000.0,2700000.0,
Williamstown North,,,,,,,,
Altona,712000.0,1000000.0,393000.0,658000.0,895000.0,1350000.0,,
Seaholme,,1205000.0,,,,1473000.0,,
Braybrook,619000.0,695000.0,,365000.0,,870000.0,,
Albion,525000.0,670000.0,200000.0,340000.0,,772000.0,,
Sunshine,653000.0,800000.0,295000.0,470000.0,,908000.0,,
Sunshine North,611000.0,711000.0,,525000.0,,815000.0,,
Sunshine West,620000.0,654000.0,,450000.0,638000.0,753000.0,758000.0,
Albanvale,,610000.0,,,,672000.0,,
Kealba,,650000.0,,,,740000.0,,
St Albans,513000.0,634000.0,,420000.0,540000.0,723000.0,805000.0,
Ardeer,,675000.0,,,,,,
Burnside,,685000.0,,,,838000.0,,
Burnside Heights,,703000.0,,,,833000.0,,
Cairnlea,,810000.0,,409000.0,,955000.0,1163000.0,
Caroline Springs,548000.0,665000.0,,450000.0,604000.0,840000.0,1095000.0,
Deer Park,465000.0,621000.0,,437000.0,525000.0,701000.0,,
Mount Cottrell,,,,,,677000.0,,
Wyndham Vale,450000.0,515000.0,,,,627000.0,699000.0,
Altona North,684000.0,880000.0,,625000.0,813000.0,1020000.0,,
Williams Landing,,661000.0,,405000.0,,826000.0,952000.0,
Altona Meadows,568000.0,715000.0,,512000.0,560000.0,800000.0,1065000.0,
Laverton,,580000.0,,,555000.0,643000.0,,
Seabrook,,712000.0,,,,785000.0,,
Hoppers Crossing,451000.0,587000.0,,424000.0,463000.0,686000.0,780000.0,
Tarneit,470000.0,575000.0,,390000.0,496000.0,673000.0,850000.0,
Truganina,473000.0,574000.0,,,,682000.0,898000.0,
Point Cook,500000.0,656000.0,,440000.0,575000.0,780000.0,1055000.0,
Werribee,420000.0,558000.0,,395000.0,464000.0,660000.0,760000.0,
Werribee South,,,,455000.0,,888000.0,,
Flemington,940000.0,1210000.0,353000.0,520000.0,,,,
Kensington,950000.0,1175000.0,380000.0,520000.0,,1371000.0,,
Ascot Vale,955000.0,1180000.0,350000.0,530000.0,,1690000.0,2210000.0,
Maribyrnong,623000.0,930000.0,335000.0,460000.0,658000.0,1308000.0,,
Travancore,,,,386000.0,,,,
Keilor East,706000.0,950000.0,,629000.0,898000.0,1220000.0,,
Avondale Heights,810000.0,870000.0,,,,1120000.0,1230000.0,
Keilor,,983000.0,,,,1188000.0,,
Keilor North,,,,,,,,
Delahey,,640000.0,,,,750000.0,,
Sydenham,461000.0,602000.0,,490000.0,505000.0,774000.0,,
Taylors Hill,,755000.0,,,,915000.0,990000.0,
Keilor Downs,,715000.0,,,,830000.0,,
Keilor Lodge,,,,,,,,
Taylors Lakes,,825000.0,,,,990000.0,1208000.0,
Moonee Ponds,841000.0,1375000.0,364000.0,581000.0,947000.0,1820000.0,1900000.0,
Aberfeldie,,1520000.0,,,,2135000.0,2225000.0,
Essendon,825000.0,1390000.0,330000.0,558000.0,887000.0,1925000.0,2800000.0,
Essendon West,,1150000.0,,,,1688000.0,,
Essendon North,725000.0,1070000.0,325000.0,408000.0,,1438000.0,,
Strathmore,1111000.0,1235000.0,,546000.0,,1740000.0,,
Strathmore Heights,,940000.0,,,,,,
Airport West,653000.0,885000.0,,586000.0,805000.0,1158000.0,,
Keilor Park,,840000.0,,,,878000.0,,
Niddrie,,978000.0,,,762000.0,1430000.0,,
Gladstone Park,,710000.0,,,,720000.0,,
Gowanbrae,,745000.0,,,,1048000.0,,
Tullamarine,529000.0,719000.0,,522000.0,601000.0,740000.0,,
Pascoe Vale,615000.0,868000.0,,593000.0,760000.0,1201000.0,,
Pascoe Vale South,735000.0,1070000.0,,487000.0,,1376000.0,,
